tbl,year,quarter,citymarketid,cityname,airportid,apt,TotalMkts,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHMkts,SHPax,SHPerLFMkts,SHAvgHubFare,SHPerPrem,LHMkts,LHPax,LHPerLFMkts,LHAvgHubFare,LHPerPrem,tbl7pk
Table 7,2013,4,30257,"Albany, NY",10257,ALB,61,4437900,0.8421,252.17,0.0888,22,1541300,0.6651,214.67,0.1035,39,2896600,0.9363,272.13,0.0828,2013410257ALB
Table 7,2008,2,34524,"Richmond, VA",14524,RIC,77,6700200,0.6599,204.31,0.0079,39,4066700,0.6024,179.72,-0.0122,38,2633500,0.7487,242.28,0.0319,2008214524RIC
Table 7,2002,3,30189,"Colorado Springs, CO",11109,COS,68,3772300,0,188.3,0.0773,11,974800,0,155.19,-0.0365,57,2797500,0,199.84,0.1128,2002311109COS
Table 7,2006,4,30721,"Boston, MA (Metropolitan Area)",10721,BOS,154,46803600,0.6303,184.11,0.0537,45,16496900,0.6034,142.56,0.2236,109,30306700,0.6449,206.73,0.0015,2006410721BOS
Table 7,2020,1,32575,"Los Angeles, CA (Metropolitan Area)",13891,ONT,177,8282000,0.8709,202.24,-0.0119,28,3341900,0.9842,154.58,-0.0119,149,4940100,0.7942,234.48,-0.0119,2020113891ONT
Table 7,2016,4,30185,"Alexandria, LA",10185,AEX,12,102100,0,288.75,0.1358,1,27700,0,264.45,0.1121,11,74400,0,297.8,0.1439,2016410185AEX
Table 7,1997,3,32211,"Las Vegas, NV",12889,LAS,135,39294700,0.5908,120.48,-0.3405,22,14687900,0.9312,81.29,-0.2995,113,24606800,0.3876,143.87,-0.3533,1997312889LAS
Table 7,2019,2,30431,"Asheville, NC",10431,AVL,52,2103200,0.4997,201.28,-0.1355,30,1485100,0.6263,161.04,-0.2524,22,618100,0.1954,297.98,0.0848,2019210431AVL
Table 7,2005,4,32280,"Idaho Falls, ID",12280,IDA,14,229100,0,209.58,0.0668,11,202800,0,185.39,-0.0058,3,26300,0,396.14,0.4482,2005412280IDA
Table 7,2001,2,30666,"Bellingham, WA",10666,BLI,8,137800,0,138.65,-0.0224,1,35200,0,84.37,-0.2658,7,102600,0,157.27,0.0411,2001210666BLI
Table 7,2016,2,32896,"Lubbock, TX",12896,LBB,37,1376400,0.8228,229.68,0.0474,9,895600,0.7693,204.82,0.0676,28,480800,0.9224,275.97,0.0207,2016212896LBB
Table 7,2013,1,30285,"Durango, CO",11413,DRO,10,231300,0.7428,198.18,-0.0121,8,181200,0.9481,184.98,-0.0108,2,50100,0,245.91,-0.0156,2013111413DRO
Table 7,2003,3,30781,"Baton Rouge, LA",10781,BTR,37,831000,0,185.31,0.0313,10,331900,0,168.05,0.0485,27,499100,0,196.8,0.0217,2003310781BTR
Table 7,2005,3,32441,"Jackson, WY",12441,JAC,36,933800,0,267.51,0.2169,5,142800,0,224.93,0.0196,31,791000,0,275.19,0.2527,2005312441JAC
