,CARRIER,1(a),1(b),2(a),2(b),2(c),3,4,5,6,7,year,quarter,1,2,perc_denied_boarding,perc_denied_boarding_involuntary,perc_denied_boarding_voluntary,date
9,JetBlue Airways,0.0,5.0,0.0,2.0,0.0,7.0,5.0,641.0,9851842.0,404614.0,2019,Q2 2019,5.0,2.0,0.006600000000000001,9.999999999999999e-05,0.0065,2019-04-01
10,Mesa Airlines,1.0,20.0,0.0,293.0,0.0,314.0,314.0,2836.0,3589375.0,0.0,2019,Q2 2019,21.0,293.0,0.0878,0.0087,0.079,2019-04-01
11,PSA Airlines,3.0,117.0,0.0,367.0,0.0,487.0,487.0,4264.0,3905385.0,0.0,2019,Q2 2019,120.0,367.0,0.1217,0.0125,0.1092,2019-04-01
12,Republic Airways,6.0,117.0,0.0,39.0,0.0,162.0,162.0,6321.0,5010539.0,0.0,2019,Q2 2019,123.0,39.0,0.12940000000000002,0.0031999999999999997,0.1262,2019-04-01
13,SkyWest Airlines,1.0,84.0,0.0,124.0,4.0,213.0,209.0,17228.0,10320910.0,0.0,2019,Q2 2019,85.0,128.0,0.169,0.0021,0.1669,2019-04-01
14,Southwest Airlines,233.0,698.0,0.0,0.0,0.0,931.0,931.0,12368.0,42176361.0,0.0,2019,Q2 2019,931.0,0.0,0.0315,0.0022,0.029300000000000003,2019-04-01
15,Spirit Airlines,5.0,139.0,0.0,5.0,0.0,149.0,144.0,5642.0,8335320.0,0.0,2019,Q2 2019,144.0,5.0,0.06949999999999999,0.0018,0.0677,2019-04-01
16,United Airlines,1.0,6.0,0.0,12.0,9.0,28.0,19.0,11394.0,27015815.0,0.0,2019,Q2 2019,7.0,21.0,0.0423,9.999999999999999e-05,0.0422,2019-04-01
0,Alaska Airlines Codeshare,0.0,65.0,0.0,16.0,11.0,92.0,65.0,2730.0,9563449.0,0.0,2019,Q3 2019,65.0,27.0,0.029500000000000002,0.001,0.028499999999999998,2019-07-01
1,Allegiant Airlines,0.0,0.0,0.0,2.0,0.0,2.0,0.0,135.0,3836145.0,0.0,2019,Q3 2019,0.0,2.0,0.0036,9.999999999999999e-05,0.0034999999999999996,2019-07-01
2,American Airlines,21.0,832.0,0.0,997.0,40.0,1890.0,1850.0,25733.0,36283824.0,0.0,2019,Q3 2019,853.0,1037.0,0.0761,0.0052,0.0709,2019-07-01
3,Delta Air Lines,0.0,1.0,0.0,0.0,2.0,3.0,1.0,24642.0,40050497.0,0.0,2019,Q3 2019,1.0,2.0,0.0615,0.0,0.0615,2019-07-01
4,Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6451.0,3850464.0,0.0,2019,Q3 2019,0.0,0.0,0.1675,0.0,0.1675,2019-07-01
5,Envoy Air,11.0,127.0,0.0,423.0,0.0,561.0,561.0,3286.0,3861879.0,0.0,2019,Q3 2019,138.0,423.0,0.0996,0.0145,0.0851,2019-07-01
6,ExpressJet Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.0,1433425.0,0.0,2019,Q3 2019,0.0,0.0,0.0947,0.0,0.0947,2019-07-01
7,Frontier Airlines,0.0,118.0,0.0,99.0,13.0,230.0,61.0,893.0,5731264.0,2489.0,2019,Q3 2019,118.0,112.0,0.0196,0.004,0.0156,2019-07-01
8,Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2828870.0,0.0,2019,Q3 2019,0.0,0.0,0.0012000000000000001,0.0,0.0012000000000000001,2019-07-01
9,JetBlue Airways,0.0,7.0,0.0,1.0,0.0,8.0,7.0,785.0,9760018.0,426338.0,2019,Q3 2019,7.0,1.0,0.0081,9.999999999999999e-05,0.008,2019-07-01
10,Mesa Airlines,0.0,16.0,0.0,72.0,0.0,88.0,88.0,1861.0,3599017.0,0.0,2019,Q3 2019,16.0,72.0,0.0542,0.0024000000000000002,0.051699999999999996,2019-07-01
11,PSA Airlines,7.0,152.0,0.0,180.0,0.0,339.0,339.0,3027.0,3810183.0,0.0,2019,Q3 2019,159.0,180.0,0.0883,0.0089,0.0794,2019-07-01
12,Republic Airways,2.0,108.0,0.0,109.0,0.0,219.0,219.0,5378.0,4900415.0,0.0,2019,Q3 2019,110.0,109.0,0.1142,0.0045000000000000005,0.1097,2019-07-01
13,SkyWest Airlines,1.0,64.0,0.0,136.0,2.0,203.0,201.0,14794.0,10472196.0,0.0,2019,Q3 2019,65.0,138.0,0.1432,0.0019000000000000002,0.1413,2019-07-01
14,Southwest Airlines,122.0,192.0,0.0,0.0,0.0,314.0,314.0,4806.0,40777514.0,0.0,2019,Q3 2019,314.0,0.0,0.0126,0.0007999999999999999,0.0118,2019-07-01
15,Spirit Airlines,0.0,43.0,1.0,20.0,0.0,64.0,43.0,4656.0,8390933.0,0.0,2019,Q3 2019,43.0,21.0,0.0563,0.0007999999999999999,0.05550000000000001,2019-07-01
16,United Air Lines,0.0,5.0,0.0,0.0,2.0,7.0,5.0,9110.0,26963748.0,0.0,2019,Q3 2019,5.0,2.0,0.0338,0.0,0.0338,2019-07-01
0,Alaska Airlines Codeshare,0.0,60.0,0.0,36.0,12.0,108.0,60.0,3147.0,8547197.0,0.0,2019,Q4 2019,60.0,48.0,0.0381,0.0013,0.0368,2019-10-01
1,Allegiant Airlines,0.0,0.0,0.0,2.0,0.0,2.0,0.0,347.0,3613426.0,0.0,2019,Q4 2019,0.0,2.0,0.0097,9.999999999999999e-05,0.009600000000000001,2019-10-01
2,American Airlines,40.0,446.0,0.0,554.0,31.0,1071.0,1040.0,15503.0,35416937.0,0.0,2019,Q4 2019,486.0,585.0,0.0468,0.003,0.043800000000000006,2019-10-01
3,Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26246.0,36796401.0,0.0,2019,Q4 2019,0.0,0.0,0.0713,0.0,0.0713,2019-10-01
4,Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6772.0,3780820.0,0.0,2019,Q4 2019,0.0,0.0,0.1791,0.0,0.1791,2019-10-01
5,Envoy Air,2.0,67.0,0.0,475.0,0.0,544.0,544.0,2427.0,3703185.0,0.0,2019,Q4 2019,69.0,475.0,0.0802,0.0147,0.0655,2019-10-01
6,ExpressJet Airlines,0.0,1.0,0.0,0.0,0.0,1.0,1.0,990.0,1467237.0,0.0,2019,Q4 2019,1.0,0.0,0.0675,9.999999999999999e-05,0.0675,2019-10-01
7,Frontier Airlines,0.0,145.0,0.0,83.0,21.0,249.0,98.0,821.0,5764965.0,2489.0,2019,Q4 2019,145.0,104.0,0.0186,0.0043,0.0142,2019-10-01
8,Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,2674636.0,1000.0,2019,Q4 2019,0.0,0.0,0.0038000000000000004,0.0,0.0038000000000000004,2019-10-01
9,JetBlue Airways,0.0,12.0,0.0,4.0,0.0,16.0,12.0,637.0,9504092.0,386415.0,2019,Q4 2019,12.0,4.0,0.0069,0.00019999999999999998,0.0067,2019-10-01
10,Mesa Airlines,2.0,31.0,0.0,69.0,0.0,102.0,102.0,1428.0,3528613.0,0.0,2019,Q4 2019,33.0,69.0,0.0434,0.0029,0.040499999999999994,2019-10-01
11,PSA Airlines,3.0,86.0,0.0,370.0,0.0,459.0,459.0,2683.0,3816412.0,0.0,2019,Q4 2019,89.0,370.0,0.0823,0.012,0.0703,2019-10-01
12,Republic Airways,1.0,77.0,0.0,42.0,0.0,120.0,120.0,3532.0,3218312.0,0.0,2019,Q4 2019,78.0,42.0,0.11349999999999999,0.0036999999999999997,0.1097,2019-10-01
13,SkyWest Airlines,3.0,37.0,0.0,76.0,0.0,116.0,116.0,13524.0,10085483.0,0.0,2019,Q4 2019,40.0,76.0,0.1352,0.0012000000000000001,0.1341,2019-10-01
14,Southwest Airlines,116.0,153.0,0.0,0.0,0.0,269.0,269.0,4339.0,40839000.0,0.0,2019,Q4 2019,269.0,0.0,0.0113,0.0007,0.0106,2019-10-01
15,Spirit Airlines,6.0,85.0,1.0,29.0,0.0,121.0,91.0,5575.0,8276219.0,0.0,2019,Q4 2019,91.0,30.0,0.0688,0.0015,0.0674,2019-10-01
16,United Air Lines,0.0,10.0,0.0,0.0,3.0,13.0,10.0,5668.0,25141731.0,0.0,2019,Q4 2019,10.0,3.0,0.0226,9.999999999999999e-05,0.0225,2019-10-01
0,Alaska Airlines,0.0,24.0,0.0,3.0,3.0,30.0,24.0,1515.0,6420719.0,0.0,2020,Q1 2020,24.0,6.0,0.0241,0.0005,0.0236,2020-01-01
